title,nb_reviews,nb_positives,nb_negatives,score_moyen,keywords
(500) Days of Summer,3,3,0,0.36,"much, fun, days, time, two, characters, story, good, zooey, summer"
10 Things I Hate About You,4,4,0,0.16,"school, kat, humour, funny, movie, cameron, bit, bianca, joey, though"
11:14,2,2,0,0.13,"little, comedy, 1114, stories, together, great, two, moments, good, clever"
12 Angry Men,8,6,1,0.2,"film, one, jurors, men, jury, 12, trial, characters, henry, fonda"
12 Strong,3,3,0,0.11,"12, strong, bad, given, get, aspect, war, film, story, worth"
12 Years a Slave,5,4,1,0.12,"film, man, time, slavery, could, one, solomon, movie, kind, ejiofor"
127 Hours,6,5,0,0.17,"film, aron, like, really, franco, 127, hours, even, movie, see"
13 Going on 30,5,5,0,0.28,"jennifer, 30, movie, 13, going, garner, performance, 13yearold, film, story"
17 Again,3,3,0,0.25,"school, 17, one, high, mann, like, really, back, zac, efron"
1917,17,17,0,0.23,"film, war, one, 1917, mendes, like, shot, two, first, men"
2 Guns,3,2,1,0.08,"movie, plot, fun, like, two, distracted, people, even, still, denzel"
2046,2,2,0,0.16,"2046, love, wong, time, touch, tony, leung, mood, memories, never"
20th Century Women,3,3,0,0.22,"dorothea, women, film, life, jaime, jaime’s, man, mother, different, help"
21,1,1,0,0.3,"21, story, characters, fun, counting, film, intrigues, fascinating, true, fast"
21 & Over,1,1,0,0.28,"really, hilarious, movie, laughing, pretty, hard, stuff, worth, watch, sure"
21 Grams,1,1,0,0.15,"21, grams, story, movie, beautifully, constructed, rawest, emotions, intense, may"
21 Jump Street,2,2,0,0.26,"jump, street, cop, reboot, amazingly, works, lord, miller, somehow, able"
22 Jump Street,2,2,0,0.2,"jump, street, 22, i’m, series, think, it’s, pretty, smart, particularly"
27 Dresses,1,1,0,0.17,"movie, girly, cant, lie, actually, like, love"
3 Idiots,2,2,0,0.6,"best, movie, 3, idiots, brilliant, mix, humor, emotion, inspiration, aamir"
3 Men and a Baby,1,1,0,0.18,"jack, danson, guttenburg, selleck, three, door, little, add, another, much"
300,4,3,1,0.06,"time, film, i300i, scenes, screen, one, lot, style, persian, fantasy"
365 dni,4,1,3,-0.04,"one, even, film, poor, characters, arent, story, neither, sex, scenes"
3:10 to Yuma,5,5,0,0.24,"evans, wade, film, man, family, western, crowe, remake, movie, also"
"4 luni, 3 saptamâni si 2 zile",1,1,0,0.36,"film, make, single, take, way, first, jaggi, saw, brave, beautiful"
40 Days and 40 Nights,1,1,0,0.26,"movie, funny, interesting, parts, dumb, kind, 4uined, still, pretty"
42,1,1,0,0.21,"well, story, skill, see, film, character, hatred, opposition, overall, incredibly"
50 First Dates,2,2,0,0.2,"first, 50, dates, adam, sandler, characters, make, movie, fun, story"
50/50,1,1,0,0.24,"really, good, movie, drama, comedy, raunchy, sad, love, story, pretty"
8 Mile,1,1,0,0.5,"eminem, turned, pretty, decent, actor, love, battle, raps, honestly, hes"
88 Minutes,1,1,0,0.5,"hoping, suspense, like, suspensedrama"
A Bad Moms Christmas,5,3,2,0.2,"one, christmas, moms, bad, movie, like, might, movies, seen, watch"
A Beautiful Day in the Neighborhood,4,4,0,0.27,"rogers, mr, recommend, movie, would, beautiful, expectations, tom, hanks, better"
A Beautiful Mind,1,1,0,0.15,"crowe, quite, nash, combination, soon, lead, life, connelly, harris, also"
A Bug's Life,4,4,0,0.22,"flik, like, theres, watch, daughter, quite, version, seven, together, fun"
A Christmas Carol,3,3,0,0.15,"christmas, scrooge, tale, story, adaptation, like, well, motion, capture, zemeckis"
A Christmas Story,2,2,0,0.18,"film, christmas, us, way, small, childhood, child, well, even, lot"
A Cinderella Story,1,1,0,0.05,"cinderella, franchise, story, hilary, duffs, portrayal, installments, failed, film, lackluster"
A Dog's Purpose,1,1,0,0.22,"film, dogs, especially, one, tale, well, time, films, dog, life"
A Fish Called Wanda,2,2,0,0.15,"comedy, wanda, cleese, fish, film, screenplay, yet, would, feature, well"
A History of Violence,3,2,1,0.11,"pacifism, violence, like, mortensen, one, bit, well, great, probably, even"
A Hologram for the King,1,1,0,0.07,"film, like, time, book, good, hanks, something, salesman, sell, product"
